name,ssn,address,mobile,email,rank,license
William Carillo,3009907461,Haukanes 13,8989481,jakobj17@ru.is,Captain,NAFokkerF100
Virginia Ho,2910858778,Kvistavellir 28,5812345,sambio@sambio.is,Captain,NABAE146
Gerard Nelson,2706838569,Lauganesvegur 86,5885522,ru@ru.is,Captain,NAFokkerF100
Allen Ley,2209955782,Haukanes 14,8989481,jakobj17@ru.is,Captain,NABAE146
Felecia Moye,2907675667,Kvistavellir 29,5812345,sambio@sambio.is,Captain,NABAE146
Tyler Anderson,1309797899,Lauganesvegur 87,5885522,ru@ru.is,Captain,NAFokkerF28
Nan Gage,2410876598,Haukanes 15,8989481,jakobj17@ru.is,Copilot,NAFokkerF100
Charla Johnson,2211658134,Kvistavellir 30,5812345,sambio@sambio.is,Copilot,NABAE146
Sam Preciado,2504939263,Lauganesvegur 88,5885522,ru@ru.is,Copilot,NABAE146
Jasmine Hagadone,1900769521,Haukanes 16,8989481,jakobj17@ru.is,Copilot,NABAE146
Anna Phillips,2500812671,Kvistavellir 31,5812345,sambio@sambio.is,Copilot,NAFokkerF28
Patricia Bates,1309927223,Lauganesvegur 89,5885522,ru@ru.is,Copilot,NAFokkerF28
Sherry Walker,1600904199,Haukanes 17,8989481,jakobj17@ru.is,Flight Service Manager,None
Margarita Fischer,303758167,Kvistavellir 32,5812345,sambio@sambio.is,Flight Service Manager,None
Judith Aleshire,2200763823,Lauganesvegur 90,5885522,ru@ru.is,Flight Service Manager,None
Jacob Blecha,1308941169,Haukanes 18,8989481,jakobj17@ru.is,Flight Service Manager,None
Lula Stefani,1405853585,Kvistavellir 33,5812345,sambio@sambio.is,Flight Service Manager,None
Richard Sanders,909862878,Lauganesvegur 91,5885522,ru@ru.is,Flight Service Manager,None
John Kline,1811931544,Haukanes 19,8989481,jakobj17@ru.is,Flight Service Manager,None
Evelyn Pickhardt,409858797,Kvistavellir 34,5812345,sambio@sambio.is,Flight Service Manager,None
Stacey Henrickson,3002688722,Lauganesvegur 92,5885522,ru@ru.is,Flight Attendant,None
Delores Whitfield,3003962187,Haukanes 20,8989481,jakobj17@ru.is,Flight Attendant,None
Maribel Lucero,1311772221,Kvistavellir 35,5812345,sambio@sambio.is,Flight Attendant,None
Katherine Wernimont,2509913418,Lauganesvegur 93,5885522,ru@ru.is,Flight Attendant,None
Wilma Horne,1103647756,Haukanes 21,8989481,jakobj17@ru.is,Flight Attendant,None
Bernard Carr,2807755841,Kvistavellir 36,5812345,sambio@sambio.is,Flight Attendant,None
Sara Davis,409907212,Lauganesvegur 94,5885522,ru@ru.is,Flight Attendant,None
Robert Swope,1103912131,Haukanes 22,8989481,jakobj17@ru.is,Flight Attendant,None
John Iversen,2801645554,Kvistavellir 37,5812345,sambio@sambio.is,Flight Attendant,None
Rhonda Forman,1501681497,Lauganesvegur 95,5885522,ru@ru.is,Flight Attendant,None
Melissa Paquette,1811813379,Haukanes 23,8989481,jakobj17@ru.is,Flight Attendant,None
Carlton Chan,505942924,Kvistavellir 38,5812345,sambio@sambio.is,Flight Attendant,None
Arthur Karr,1110732819,Lauganesvegur 96,5885522,ru@ru.is,Flight Attendant,None
Teresa Thruman,2602806942,Haukanes 24,8989481,jakobj17@ru.is,Flight Attendant,None
Elizabeth Mcfadden,1107951952,Kvistavellir 39,5812345,sambio@sambio.is,Flight Attendant,None

