outFlight,returnFlight,flightCaptain,flightAssistant,headAttendant,flightAttendants
8769996234237,8769996234228,3009907461,2410876598,1600904199,3002688722;0505942924
8769996241541,8769996241878,2910858778,2211658134,0303758167,3003962187;1110732819
8769996242053,8769996242821,2910858778,2211658134,0303758167,1311772221
8769996242649,8769996242640,2706838569,2410876598,1600904199,3003962187;2801645554
8769996243345,8769996244706,2706838569,2410876598,1600904199,2509913418
8769996193416,8769996244336,2209955782,2504939263,2200763823,1103647756;1501681497
8769996194533,8769996243944,2706838569,2410876598,1308941169,2807755841;2801645554
8769996193967,8769996195560,3009907461,2410876598,1405853585,0409907212;0505942924
8769996195729,8769996196497,2910858778,1900769521,0909862878,3003962187;1811813379
8769996197358,8769996197340,2209955782,1900769521,1405853585,1103912131;2807755841
8769996196997,8769996292148,2910858778,2504939263,1600904199,2807755841
8769996197648,8769996197816,2706838569,2410876598,2200763823,0409907212;3003962187
8769996198262,8769996198271,2706838569,2410876598,1811931544,2801645554
8769996198229,8769996198298,2907675667,2211658134,1405853585,1103647756;1103912131
8769996198208,8769996198397,2706838569,2410876598,0909862878,1501681497;2807755841
8769996198202,8769996198379,2907675667,1900769521,1308941169,1811813379
8769996198346,8769996197961,2907675667,2211658134,0303758167,1811813379;1110732819
8769996198069,8769996198045,2706838569,2410876598,0303758167,0505942924;2602806942
8769996198129,8769996197934,2209955782,2211658134,0909862878,3003962187;2602806942
8769996197970,8769996198105,2706838569,2410876598,0909862878,1501681497
8769996198138,8769996199482,1309797899,2500812671,2200763823,1103912131;2801645554
8769996199590,8769996199614,2910858778,2211658134,2200763823,1110732819;2801645554
8769996199650,8769996199509,2209955782,2504939263,0409858797,1103912131;1103912131
8769996199653,8769996199647,1309797899,1309927223,1600904199,1311772221;1110732819
8769996199656,8769996199593,3009907461,2410876598,1405853585,2602806942;2509913418
8769996201108,8769996201099,2907675667,1900769521,1811931544,1107951952;2509913418
